amount_50th,date
44.52,2026-03-23
40.58,2026-03-24
46.33,2026-03-25
40.6,2026-03-26
38.67,2026-03-27
38.32,2026-03-30
41.21,2026-03-31
39.38,2026-04-01
37.29,2026-04-02
35.42,2026-04-03
35.43,2026-04-07
49.48,2026-04-08
45.98,2026-04-09
49.07,2026-04-10
48.32,2026-04-13
52.6,2026-04-14
53.71,2026-04-15
51.88,2026-04-16
55.18,2026-04-17
59.38,2026-04-20
52.68,2026-04-21
55.57,2026-04-22
61.38,2026-04-23
61.64,2026-04-24
61.49,2026-04-27
56.23,2026-04-28
56.34,2026-04-29
66.95,2026-04-30
73.16,2026-05-06
69.63,2026-05-07
69.74,2026-05-08
74.41,2026-05-11
71.88,2026-05-12
72.78,2026-05-13
74.29,2026-05-14
73.71,2026-05-15
56.73,2026-05-18
60.18,2026-05-19
62.71,2026-05-20
74.45,2026-05-21
64.1,2026-05-22
66.52,2026-05-25
80.07,2026-05-26
78.07,2026-05-27
71.85,2026-05-28
77.17,2026-05-29
63.67,2026-06-01
