entry_date,code,name,money_t,money_t_yi,sum_1d,sum_1d_yi,sum_3d,sum_3d_yi,sum_5d,sum_5d_yi,sum_10d,sum_10d_yi,sum_20d,sum_20d_yi,track_days
2026-03-24,603259.XSHG,药明康德,6993974838.87,69.94,6993974838.87,69.94,14016839202.96,140.17,21882298743.04,218.82,48020868792.49,480.21,89318554229.58,893.19,20
2026-03-24,600703.XSHG,三安光电,6399825742.15,64.0,6399825742.15,64.0,15163517193.17,151.64,21508197732.15,215.08,32454429939.8,324.54,68690930891.58,686.91,20
2026-03-24,000547.XSHE,航天发展,5926499489.03,59.26,5926499489.03,59.26,17975491983.44,179.75,29561821699.0,295.62,52002641744.26,520.03,104121706210.52,1041.22,20
2026-03-24,601016.XSHG,节能风电,5477009073.31,54.77,5477009073.31,54.77,17216151642.41,172.16,24982948904.11,249.83,36420583556.27,364.21,49034539606.87,490.35,20
2026-03-24,600988.XSHG,赤峰黄金,5093495418.76,50.93,5093495418.76,50.93,11901817508.58,119.02,18145145284.99,181.45,33549070474.86,335.49,52477942332.18,524.78,20
2026-03-24,688521.XSHG,芯原股份,5050632831.4,50.51,5050632831.4,50.51,13229791871.02,132.3,19195601762.88,191.96,41026166097.3,410.26,106053329773.43,1060.53,20
2026-03-24,000815.XSHE,美利云,4767175191.98,47.67,4767175191.98,47.67,13252339386.39,132.52,18238807776.69,182.39,29423342742.96,294.23,57843369960.25,578.43,20
2026-03-24,600930.XSHG,华电新能,4703049912.26,47.03,4703049912.26,47.03,16706008341.12,167.06,23411529163.48,234.12,29775014125.18,297.75,37791327375.51,377.91,20
2026-03-24,688041.XSHG,海光信息,4620494441.09,46.2,4620494441.09,46.2,14260342233.57,142.6,21424069692.22,214.24,38483013979.61,384.83,110878225717.32,1108.78,20
2026-03-24,601872.XSHG,招商轮船,4378938989.86,43.79,4378938989.86,43.79,11007774399.08,110.08,15709330376.9,157.09,35984112833.73,359.84,69949888470.32,699.5,20
