日期,股票代码,名称,行业,成交金额（亿）,开盘价,T日收盘价,T-1日收盘价,T日涨跌幅,T+1日涨跌幅,T+2日涨跌幅,主力净流入（万）,主力占比（%）,换手率（%）
2026-03-26,601318.XSHG,中国平安,保险II,58.02,58.78,56.8,58.79,-3.38,0.26,-1.09,-50404.03,-8.69,0.95
2026-03-31,002463.XSHE,沪电股份,元件II,48.93,78.43,75.62,78.82,-4.06,4.36,-3.8,-92816.41,-18.97,3.31
2026-03-31,688008.XSHG,澜起科技,半导体II,46.28,130.0,125.28,132.0,-5.09,3.74,-0.75,-69094.38,-14.93,3.18
2026-04-10,300442.XSHE,润泽科技,通信运营II,51.56,88.0,87.04,87.29,-0.29,2.5,2.15,-4268.54,-0.83,3.61
2026-04-15,000657.XSHE,中钨高新,稀有金属II,58.38,50.96,47.18,49.94,-5.53,10.0,8.13,-41715.52,-7.15,8.26
2026-04-24,002371.XSHE,北方华创,半导体II,61.64,475.03,472.7,475.0,-0.48,9.21,0.19,49518.84,8.03,1.79
2026-05-12,300442.XSHE,润泽科技,通信运营II,74.57,96.68,91.38,97.91,-6.67,11.21,-1.92,-161953.43,-21.72,4.9
2026-05-14,601991.XSHG,大唐发电,电力II,145.17,8.11,7.2,7.37,-2.31,10.0,0.13,-143230.16,-9.87,14.98
2026-05-21,300475.XSHE,香农芯创,其他电子II,81.14,190.82,177.75,186.4,-4.64,5.59,8.99,-21297.39,-2.62,9.77
2026-05-21,002436.XSHE,兴森科技,元件II,79.32,33.51,33.26,33.51,-0.75,6.4,7.63,26482.19,3.34,15.06
2026-05-21,600183.XSHG,生益科技,元件II,74.45,102.15,98.19,100.56,-2.36,10.0,7.88,-6435.2,-0.86,3.03
