add_date,stock,name,industry,open,close,today_pct,open1,close1,today_pct1,open2,close2,today_pct2,open3,close3,today_pct3,open4,close4,today_pct4,open5,close5,today_pct5,open6,close6,today_pct6,open7,close7,today_pct7,open8,close8,today_pct8,open9,close9,today_pct9,open10,close10,today_pct10
2026-03-24,600703.XSHG,三安光电,电子I,14.0,13.85,-0.0107,13.63,13.96,0.0242,13.95,12.91,-0.0746,12.51,12.56,0.004,11.93,12.17,0.0201,12.17,11.67,-0.0411,11.89,11.85,-0.0034,11.81,11.4,-0.0347,11.5,11.65,0.013,11.73,12.02,0.0247,12.3,12.41,0.0089
2026-03-24,600096.XSHG,云天化,化工I,34.56,33.31,-0.0362,32.94,33.34,0.0121,33.3,32.79,-0.0153,32.31,33.57,0.039,33.58,33.76,0.0054,33.72,32.23,-0.0442,32.62,32.33,-0.0089,32.13,31.53,-0.0187,31.58,30.35,-0.0389,30.35,31.47,0.0369,31.46,32.22,0.0242
2026-03-24,600930.XSHG,华电新能,公用事业I,6.95,7.19,0.0345,7.1,7.42,0.0451,7.29,7.23,-0.0082,6.99,6.78,-0.03,6.68,6.41,-0.0404,6.36,6.28,-0.0126,6.33,6.24,-0.0142,6.24,6.13,-0.0176,6.12,6.0,-0.0196,6.0,6.04,0.0067,6.07,6.15,0.0132
2026-03-24,601872.XSHG,招商轮船,交通运输I,17.45,18.1,0.0372,18.41,17.41,-0.0543,17.2,16.69,-0.0297,16.72,17.1,0.0227,17.02,17.03,0.0006,17.32,16.36,-0.0554,16.68,18.0,0.0791,18.15,19.47,0.0727,20.05,20.39,0.017,20.76,20.26,-0.0241,19.19,20.16,0.0505
2026-03-24,688041.XSHG,海光信息,电子I,210.69,213.27,0.0122,214.45,217.4,0.0138,223.33,218.7,-0.0207,214.6,220.95,0.0296,218.6,215.73,-0.0131,214.56,210.26,-0.02,217.1,220.31,0.0148,219.0,213.0,-0.0274,214.07,213.77,-0.0014,214.0,217.54,0.0165,226.1,228.5,0.0106
2026-03-24,002714.XSHE,牧原股份,农林牧渔I,45.2,43.5,-0.0376,43.12,44.52,0.0325,44.33,44.0,-0.0074,43.73,45.2,0.0336,44.78,43.23,-0.0346,43.13,41.71,-0.0329,41.95,42.2,0.006,42.21,43.65,0.0341,43.43,42.9,-0.0122,42.92,43.45,0.0123,43.7,44.34,0.0146
2026-03-24,000792.XSHE,盐湖股份,化工I,35.48,36.41,0.0262,37.3,36.77,-0.0142,36.61,36.85,0.0066,36.33,39.45,0.0859,39.58,39.06,-0.0131,37.25,37.0,-0.0067,37.15,36.23,-0.0248,36.1,36.68,0.0161,36.68,36.25,-0.0117,36.35,36.43,0.0022,36.0,37.25,0.0347
2026-03-24,000815.XSHE,美利云,计算机I,19.41,20.56,0.0592,20.81,21.29,0.0231,20.6,20.12,-0.0233,19.23,20.29,0.0551,19.55,20.03,0.0246,19.7,18.82,-0.0447,19.33,20.7,0.0709,20.44,19.66,-0.0382,20.25,19.37,-0.0435,18.56,19.06,0.0269,19.64,20.31,0.0341
2026-03-24,000547.XSHE,航天发展,国防军工I,26.88,26.93,0.0019,26.7,27.07,0.0139,27.52,28.15,0.0229,27.02,27.36,0.0126,27.1,28.68,0.0583,28.67,28.46,-0.0073,28.46,27.84,-0.0218,27.79,27.03,-0.0273,27.19,25.78,-0.0519,25.77,25.93,0.0062,26.61,27.6,0.0372
2026-03-24,601016.XSHG,节能风电,公用事业I,4.52,4.91,0.0863,4.98,5.4,0.0843,5.4,5.31,-0.0167,5.11,4.93,-0.0352,4.88,4.6,-0.0574,4.54,4.28,-0.0573,4.36,4.26,-0.0229,4.23,4.03,-0.0473,4.02,3.81,-0.0522,3.8,4.04,0.0632,4.06,4.1,0.0099
