日期,股票代码,名称,行业,成交金额（亿）,开盘价,T日收盘价,T-1日收盘价,T日涨跌幅,T+1日涨跌幅,T+2日涨跌幅
2026-03-24,000547.XSHE,航天发展,国防军工I,59.26,26.88,26.93,26.29,0.19,1.37,2.33
2026-03-24,600930.XSHG,华电新能,公用事业I,47.03,6.95,7.19,6.93,3.46,4.45,-0.81
2026-03-24,688041.XSHG,海光信息,电子I,46.2,210.69,213.27,207.04,1.25,1.38,-2.13
2026-03-24,601869.XSHG,长飞光纤,通信I,43.21,216.34,233.31,212.1,8.0,4.56,4.07
2026-03-26,002460.XSHE,赣锋锂业,有色金属I,55.48,70.37,72.43,70.63,2.92,11.29,-1.07
2026-03-26,002709.XSHE,天赐材料,电气设备I,54.69,42.8,44.24,43.02,3.35,4.95,2.03
2026-03-26,002149.XSHE,西部材料,有色金属I,42.53,43.74,46.74,42.49,7.06,10.59,9.71
2026-03-27,600519.XSHG,贵州茅台,食品饮料I,42.57,1400.0,1416.02,1401.18,1.14,0.92,-1.27
2026-03-27,002428.XSHE,云南锗业,有色金属I,38.7,44.88,51.36,46.69,13.88,1.93,-5.9
2026-03-30,600498.XSHG,烽火通信,通信I,51.43,44.99,48.8,45.98,8.29,5.9,-6.87
2026-03-30,000592.XSHE,平潭发展,农林牧渔I,49.0,10.4,11.62,10.56,11.55,6.2,-5.48
2026-03-30,600522.XSHG,中天科技,通信I,46.58,26.65,28.99,27.05,8.65,4.24,-6.08
2026-03-31,601138.XSHG,工业富联,电子I,122.73,49.0,51.46,49.27,4.99,0.62,-1.24
2026-03-31,603259.XSHG,药明康德,医药生物I,52.15,96.75,98.1,96.61,1.4,3.82,0.18
2026-04-02,688313.XSHG,仕佳光子,通信I,54.88,88.0,92.8,88.88,5.4,0.54,-3.12
2026-04-02,300620.XSHE,光库科技,通信I,50.02,189.85,199.92,186.85,5.39,8.97,-1.32
2026-04-03,002281.XSHE,光迅科技,通信I,75.37,85.02,90.39,83.9,6.4,0.4,2.88
2026-04-03,002428.XSHE,云南锗业,有色金属I,55.69,49.06,51.71,47.5,5.58,1.64,0.47
2026-04-03,300548.XSHE,长芯博创,通信I,47.63,161.3,165.18,157.88,2.46,7.3,9.05
