stock,amount,name,date
603259.XSHG,6993974838.87,药明康德,2026-03-24
600703.XSHG,6399825742.15,三安光电,2026-03-24
000547.XSHE,5926499489.03,航天发展,2026-03-24
601016.XSHG,5477009073.31,节能风电,2026-03-24
600988.XSHG,5093495418.76,赤峰黄金,2026-03-24
688521.XSHG,5050632831.4,芯原股份,2026-03-24
000815.XSHE,4767175191.98,美利云,2026-03-24
600930.XSHG,4703049912.26,华电新能,2026-03-24
688041.XSHG,4620494441.09,海光信息,2026-03-24
601872.XSHG,4378938989.86,招商轮船,2026-03-24
601869.XSHG,4320966944.0,长飞光纤,2026-03-24
002714.XSHE,4293925172.71,牧原股份,2026-03-24
000792.XSHE,4286432232.04,盐湖股份,2026-03-24
600096.XSHG,4057741717.08,云天化,2026-03-24
300383.XSHE,7876999866.91,光环新网,2026-03-25
600549.XSHG,6728832407.65,厦门钨业,2026-03-25
002281.XSHE,6384928538.69,光迅科技,2026-03-25
002428.XSHE,6171335250.51,云南锗业,2026-03-25
600498.XSHG,5502134426.67,烽火通信,2026-03-25
600111.XSHG,5436562647.47,北方稀土,2026-03-25
002309.XSHE,5368929440.98,中利集团,2026-03-25
300017.XSHE,5215587811.44,网宿科技,2026-03-25
600989.XSHG,5162770817.24,宝丰能源,2026-03-25
600522.XSHG,4840405061.14,中天科技,2026-03-25
300442.XSHE,4674347633.79,润泽科技,2026-03-25
600157.XSHG,4673993273.97,永泰能源,2026-03-25
601016.XSHG,7924335717.33,节能风电,2026-03-26
300136.XSHE,6896058594.42,信维通信,2026-03-26
600666.XSHG,5892852704.4,奥瑞德,2026-03-26
601318.XSHG,5801815138.04,中国平安,2026-03-26
603601.XSHG,5615861364.26,再升科技,2026-03-26
002460.XSHE,5548375746.28,赣锋锂业,2026-03-26
002709.XSHE,5469278450.17,天赐材料,2026-03-26
300059.XSHE,5416802117.17,东方财富,2026-03-26
002050.XSHE,4717158433.53,三花智控,2026-03-26
300757.XSHE,4656965276.26,罗博特科,2026-03-26
603659.XSHG,4492123968.0,璞泰来,2026-03-26
300475.XSHE,4364618081.94,香农芯创,2026-03-26
300827.XSHE,4313087141.57,上能电气,2026-03-26
002149.XSHE,4253374469.45,西部材料,2026-03-26
600703.XSHG,4233008831.28,三安光电,2026-03-26
688498.XSHG,4059670667.2,源杰科技,2026-03-26
000338.XSHE,6748424176.3,潍柴动力,2026-03-27
000792.XSHE,6202363294.44,盐湖股份,2026-03-27
300054.XSHE,6073085441.2,鼎龙股份,2026-03-27
002466.XSHE,5776794787.27,天齐锂业,2026-03-27
600276.XSHG,5393542863.32,恒瑞医药,2026-03-27
300620.XSHE,5254772523.12,光库科技,2026-03-27
603799.XSHG,4680134386.85,华友钴业,2026-03-27
002131.XSHE,4484596784.36,利欧股份,2026-03-27
603259.XSHG,4320570173.65,药明康德,2026-03-27
300390.XSHE,4292421746.51,天华新能,2026-03-27
600519.XSHG,4257499781.14,贵州茅台,2026-03-27
000617.XSHE,4003608529.35,中油资本,2026-03-27
002428.XSHE,3869850296.3,云南锗业,2026-03-27
603993.XSHG,3866586383.59,洛阳钼业,2026-03-27
601600.XSHG,7657725428.65,中国铝业,2026-03-30
002281.XSHE,5278958495.68,光迅科技,2026-03-30
002192.XSHE,5178647978.19,融捷股份,2026-03-30
600498.XSHG,5142880685.42,烽火通信,2026-03-30
000592.XSHE,4900184152.63,平潭发展,2026-03-30
600522.XSHG,4658130813.86,中天科技,2026-03-30
600105.XSHG,4543568518.16,永鼎股份,2026-03-30
300751.XSHE,4466272101.93,迈为股份,2026-03-30
688498.XSHG,4141415350.85,源杰科技,2026-03-30
300548.XSHE,4136001521.7,长芯博创,2026-03-30
002432.XSHE,4105724152.54,九安医疗,2026-03-30
301308.XSHE,4012786780.12,江波龙,2026-03-30
002309.XSHE,3939074631.1,中利集团,2026-03-30
601012.XSHG,3916247299.43,隆基绿能,2026-03-30
002506.XSHE,3831835296.13,协鑫集成,2026-03-30
601138.XSHG,12272913185.39,工业富联,2026-03-31
300058.XSHE,7224634099.85,蓝色光标,2026-03-31
000333.XSHE,5310077351.85,美的集团,2026-03-31
603259.XSHG,5215321936.56,药明康德,2026-03-31
600879.XSHG,5212353429.27,航天电子,2026-03-31
600089.XSHG,5183859146.84,特变电工,2026-03-31
